id_orden,fecha_ingreso,fecha_entrega,cliente,servicio,vehiculo,estado,horas_trabajo,precio_hora,monto_total,mecanico_1,horas_1,mecanico_2,horas_2,mecanico_3,horas_3
OT-174,2026-05-01,2026-05-02,Mateo Benjamin Valdez,Lavado premium,Ranger,Trabajo realizado,2.0,18,40.66,Martina Diaz,1.5,Delfina Gimenez,1.5,,
OT-175,2026-05-25,2026-05-25,Thiago Diaz,Lavado premium,Duster,Cobrado,1.5,18,31.86,Martina Diaz,1.5,,,,
OT-176,2026-05-02,2026-05-04,Luciana Quiroga,Pulido y encerado,Fiesta,Cobrado,5.5,28,181.85,Delfina Gimenez,3.0,Lara Molina,5.5,,
OT-177,2026-05-21,2026-05-22,Juan Manuel Torres,Alineación y balanceo,Amarok,Cobrado,1.0,38,42.16,Delfina Gimenez,1.0,,,,
OT-178,2026-05-16,2026-05-18,Angel Gabriel Miranda,Diagnóstico electrónico,Corolla Cross,Cobrado,1.0,50,53.61,Lara Molina,1.0,,,,
OT-179,2026-05-22,2026-05-25,Pedro Diaz,Mecánica general,Kicks,Cobrado,3.0,40,158.8,Delfina Gimenez,3.0,,,,
OT-180,2026-05-31,2026-06-02,Thiago Lionel Sanchez,Mecánica general,Onix,Cobrado,6.5,40,350.25,Alma Valentina Gonzalez,6.5,,,,
OT-181,2026-05-02,2026-05-03,Uma  Medina,Alineación y balanceo,Taos,Trabajo realizado,1.5,38,61.68,Delfina Nuñez,1.5,,,,
OT-182,2026-06-28,2026-06-29,Thiago Diaz,Diagnóstico electrónico,Tracker,Trabajo realizado,2.0,50,95.16,Lara Molina,2.0,,,,
OT-183,2026-06-25,2026-06-27,Alma Fernandez,Mecánica general,Cronos,Facturado esperando cobro,5.0,40,290.54,Martina Diaz,5.0,,,,
OT-184,2026-06-08,2026-06-08,Santino Morales,Cambio de aceite,Duster,Facturado esperando cobro,1.5,35,98.46,Delfina Gimenez,1.5,,,,
OT-185,2026-06-27,2026-06-28,Thiago Benjamin Maidana,Mecánica general,208,Facturado esperando cobro,7.5,40,424.07,Delfina Nuñez,7.5,,,,
OT-186,2026-06-22,2026-06-22,Mateo Alvarez,Lavado premium,Cronos,Facturado esperando cobro,2.5,18,47.13,Delfina Nuñez,2.0,Martina Diaz,2.0,,
OT-187,2026-06-28,,Luciana Quiroga,Alineación y balanceo,Yaris,Cancelado,1.0,38,"$ 42,24",,,,,,
OT-188,2026-07-11,2026-07-12,Francisco Garcia,Detailing completo,Hilux,Cobrado,5.5,30,184.36,Martina Diaz,4.5,Delfina Nuñez,3.0,,
OT-189,2026-07-23,2026-07-25,Lola Rodriguez,Pulido y encerado,Territory,Cobrado,4.0,28,,Lara Molina,3.5,Martina Diaz,2.0,,
OT-190,2026-07-15,2026-07-16,Delfina Fernandez,Lavado premium,Fiesta,Cobrado,2.0,18,39.43,Alma Valentina Gonzalez,2.0,,,,
OT-191,2026-08-03,2026-08-09,Bautista Benjamin Fernandez,Chapa y pintura,Fiesta,Cobrado,12.5,45,836.26,Alma Valentina Gonzalez,12.0,Lara Molina,10.0,Delfina Nuñez,9.0
OT-192,2026-08-11,2026-08-11,Juan Manuel Torres,Cambio de aceite,Etios,Facturado esperando cobro,0.5,35,31.94,Alma Valentina Gonzalez,0.5,,,,
OT-193,2026-08-06,2026-08-06,Maximiliano Romero,Cambio de aceite,Ranger,Trabajo realizado,0.5,35,35.14,Delfina Nuñez,0.5,,,,
OT-194,2026-08-09,2026-08-10,Emiliano Rivero,Cambio de aceite,Corolla Cross,Facturado esperando cobro,1.5,35,104.22,Delfina Nuñez,1.5,,,,
OT-195,2026-08-06,,Valentina Blanco,Diagnóstico electrónico,Territory,En proceso,2.5,50,126.11,Lara Molina,2.5,,,,
OT-196,2026-08-18,2026-08-19,Catalina Gomez,Lavado premium,Kicks,Facturado esperando cobro,2.5,18,49.58,Lara Molina,2.5,,,,
OT-197,2026-08-25,2026-08-25,Francisco Garcia,Alineación y balanceo,Cronos,Cobrado,1.5,38,60.49,Lara Molina,1.5,,,,
OT-198,2026-08-15,,Facundo Moyano,Cambio de aceite,Hilux,Presupuesto enviado,1.0,35,70.25,,,,,,
OT-199,2026-08-11,,Thiago Leonel Juarez,Alineación y balanceo,Sandero,En proceso,1.0,38,40.93,Delfina Nuñez,1.0,,,,
OT-200,2026-08-06,,Francisco Barrios,Cambio de aceite,Onix,Presupuesto enviado,1.5,35,"$ 99,71",,,,,,
